mass,motor_k,battery,flight_time,max_altitude,energy_efficiency,stability_score,feasible
0.5,1e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
0.5,1e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
0.5,1e-05,5000,7200.000000008662,29.663874418028342,36.03603603607939,0.09377454767372358,1
0.5,1e-05,8000,7200.000000008662,29.663874418028342,22.522522522549618,0.09377454767372358,1
0.5,1.5e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
0.5,1.5e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
0.5,1.5e-05,5000,7200.000000008662,29.663874418028342,36.03603603607939,0.09377454767372358,1
0.5,1.5e-05,8000,7200.000000008662,29.663874418028342,22.522522522549618,0.09377454767372358,1
0.5,2.5e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
0.5,2.5e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
0.5,2.5e-05,5000,7200.000000008662,29.663874418028342,36.03603603607939,0.09377454767372358,1
0.5,2.5e-05,8000,7200.000000008662,29.663874418028342,22.522522522549618,0.09377454767372358,1
0.5,4e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
0.5,4e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
0.5,4e-05,5000,7200.000000008662,29.663874418028342,36.03603603607939,0.09377454767372358,1
0.5,4e-05,8000,7200.000000008662,29.663874418028342,22.522522522549618,0.09377454767372358,1
0.8,1e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
0.8,1e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
0.8,1e-05,5000,7200.000000008662,29.663874418028342,36.03603603607939,0.09377454767372358,1
0.8,1e-05,8000,7200.000000008662,29.663874418028342,22.522522522549618,0.09377454767372358,1
0.8,1.5e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
0.8,1.5e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
0.8,1.5e-05,5000,7200.000000008662,29.663874418028342,36.03603603607939,0.09377454767372358,1
0.8,1.5e-05,8000,7200.000000008662,29.663874418028342,22.522522522549618,0.09377454767372358,1
0.8,2.5e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
0.8,2.5e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
0.8,2.5e-05,5000,7200.000000008662,29.663874418028342,36.03603603607939,0.09377454767372358,1
0.8,2.5e-05,8000,7200.000000008662,29.663874418028342,22.522522522549618,0.09377454767372358,1
0.8,4e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
0.8,4e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
0.8,4e-05,5000,7200.000000008662,29.663874418028342,36.03603603607939,0.09377454767372358,1
0.8,4e-05,8000,7200.000000008662,29.663874418028342,22.522522522549618,0.09377454767372358,1
1.2,1e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
1.2,1e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
1.2,1e-05,5000,7200.000000008662,29.663874418028342,36.03603603607939,0.09377454767372358,1
1.2,1e-05,8000,7200.000000008662,29.663874418028342,22.522522522549618,0.09377454767372358,1
1.2,1.5e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
1.2,1.5e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
1.2,1.5e-05,5000,7200.000000008662,29.663874418028342,36.03603603607939,0.09377454767372358,1
1.2,1.5e-05,8000,7200.000000008662,29.663874418028342,22.522522522549618,0.09377454767372358,1
1.2,2.5e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
1.2,2.5e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
1.2,2.5e-05,5000,7200.000000008662,29.663874418028342,36.03603603607939,0.09377454767372358,1
1.2,2.5e-05,8000,7200.000000008662,29.663874418028342,22.522522522549618,0.09377454767372358,1
1.2,4e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
1.2,4e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
1.2,4e-05,5000,7200.000000008662,29.663874418028342,36.03603603607939,0.09377454767372358,1
1.2,4e-05,8000,7200.000000008662,29.663874418028342,22.522522522549618,0.09377454767372358,1
1.5,1e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
1.5,1e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
1.5,1e-05,5000,7200.000000008662,29.663874418028342,36.03603603607939,0.09377454767372358,1
1.5,1e-05,8000,7200.000000008662,29.663874418028342,22.522522522549618,0.09377454767372358,1
1.5,1.5e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
1.5,1.5e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
1.5,1.5e-05,5000,7200.000000008662,29.663874418028342,36.03603603607939,0.09377454767372358,1
1.5,1.5e-05,8000,7200.000000008662,29.663874418028342,22.522522522549618,0.09377454767372358,1
1.5,2.5e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
1.5,2.5e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
1.5,2.5e-05,5000,7200.000000008662,29.663874418028342,36.03603603607939,0.09377454767372358,1
1.5,2.5e-05,8000,7200.000000008662,29.663874418028342,22.522522522549618,0.09377454767372358,1
1.5,4e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
1.5,4e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
1.5,4e-05,5000,7200.000000008662,29.663874418028342,36.03603603607939,0.09377454767372358,1
1.5,4e-05,8000,7200.000000008662,29.663874418028342,22.522522522549618,0.09377454767372358,1
2.0,1e-05,1500,7200.000000008662,29.663874418028342,120.12012012026464,0.09377454767372358,1
2.0,1e-05,3000,7200.000000008662,29.663874418028342,60.06006006013232,0.09377454767372358,1
